ParkName,Rank,Value,PercentOfTotal
Fire Island NS,134,"431,303",0.13%
Shiloh NMP,135,"421,862",0.13%
Pu'uhonua o Honaunau NHP,136,"421,027",0.13%
Boston African American NHS,137,"414,170",0.13%
Virgin Islands NP,138,"411,343",0.12%
Montezuma Castle NM,139,"392,168",0.12%
Colorado NM,140,"391,075",0.12%
Great Sand Dunes NP & PRES,141,"388,308",0.12%
Big Bend NP,142,"388,290",0.12%
Vanderbilt Mansion NHS,143,"387,856",0.12%
Flight 93 NMEM,144,"385,123",0.12%
Salem Maritime NHS,145,"371,989",0.11%
Channel Islands NP,146,"364,807",0.11%
Antietam NB,147,"351,911",0.11%
Kenai Fjords NP,148,"346,534",0.10%
Stones River NB,149,"346,213",0.10%
Fort Pulaski NM,150,"344,921",0.10%
Prince William Forest Park,151,"344,435",0.10%
Harpers Ferry NHP,152,"335,691",0.10%
Little Bighorn Battlefield NM,153,"332,328",0.10%
Guilford Courthouse NMP,154,"321,796",0.10%
San Juan Island NHP,155,"316,122",0.10%
Federal Hall NMEM,156,"314,531",0.10%
Dinosaur NM,157,"304,312",0.09%
Appomattox Court House NHP,158,"303,139",0.09%
Fort Raleigh NHS,159,"292,367",0.09%
Fort Necessity NB,160,"290,021",0.09%
Lewis & Clark NHP,161,"281,576",0.09%
Upper Delaware S&RR,162,"264,362",0.08%
Kings Mountain NMP,163,"263,357",0.08%
LBJ Memorial Grove on the Potomac,164,"260,234",0.08%
Bighorn Canyon NRA,165,"259,485",0.08%
Fort Donelson NB,166,"259,343",0.08%
Mississippi NRRA,167,"256,944",0.08%
Craters of the Moon NM,168,"255,436",0.08%
Washington Monument,169,"252,677",0.08%
Morristown NHP,170,"252,514",0.08%
Abraham Lincoln Birthplace NHP,171,"252,495",0.08%
Voyageurs NP,172,"241,912",0.07%
Nez Perce NHP,173,"239,908",0.07%
Lincoln Home NHS,174,"239,719",0.07%
Black Canyon of the Gunnison NP,175,"238,018",0.07%
Organ Pipe Cactus NM,176,"234,186",0.07%
De Soto NMEM,177,"232,463",0.07%
Fort Caroline NMEM,178,"232,082",0.07%
Obed W&SR,179,"231,390",0.07%
Wupatki NM,180,"223,172",0.07%
Catoctin Mountain Park,181,"221,750",0.07%
Sitka NHP,182,"217,141",0.07%
Pinnacles NP,183,"215,555",0.07%
Cowpens NB,184,"213,299",0.06%
John Day Fossil Beds NM,185,"210,110",0.06%
Richmond NBP,186,"208,969",0.06%
Natchez NHP,187,"204,120",0.06%
River Raisin NBP,188,"202,375",0.06%
Adams NHP,189,"199,301",0.06%
Bandelier NM,190,"198,478",0.06%
Home of Franklin D. Roosevelt NHS,191,"193,272",0.06%
Fort Frederica NM,192,"192,906",0.06%
Big Thicket NPRES,193,"192,809",0.06%
