ParkName	Rank	Value	PercentOfTotal
Fort Donelson NB	166	259343	0.08
Mississippi NRRA	167	256944	0.08
Craters of the Moon NM	168	255436	0.08
Washington Monument	169	252677	0.08
Morristown NHP	170	252514	0.08
Abraham Lincoln Birthplace NHP	171	252495	0.08
Voyageurs NP	172	241912	0.07
Nez Perce NHP	173	239908	0.07
Lincoln Home NHS	174	239719	0.07
Black Canyon of the Gunnison NP	175	238018	0.07
Organ Pipe Cactus NM	176	234186	0.07
De Soto NMEM	177	232463	0.07
Fort Caroline NMEM	178	232082	0.07
Obed W&SR	179	231390	0.07
Wupatki NM	180	223172	0.07
Catoctin Mountain Park	181	221750	0.07
Sitka NHP	182	217141	0.07
Pinnacles NP	183	215555	0.07
Cowpens NB	184	213299	0.06
John Day Fossil Beds NM	185	210110	0.06
Richmond NBP	186	208969	0.06
Natchez NHP	187	204120	0.06
River Raisin NBP	188	202375	0.06
Adams NHP	189	199301	0.06
Bandelier NM	190	198478	0.06
Home of Franklin D. Roosevelt NHS	191	193272	0.06
Fort Frederica NM	192	192906	0.06
Big Thicket NPRES	193	192809	0.06
Petersburg NB	194	191898	0.06
Allegheny Portage Railroad NHS	195	189371	0.06
Kaloko Honokohau NHP	196	185041	0.06
Apostle Islands NL	197	183796	0.06
Wilson's Creek NB	198	183698	0.06
Guadalupe Mountains NP	199	181839	0.05
Paterson Great Falls NHP	200	177498	0.05
Theodore Roosevelt Island	201	164360	0.05
Fort Smith NHS	202	163636	0.05
Ocmulgee NM	203	162260	0.05
El Malpais NM	204	157440	0.05
Johnstown Flood NMEM	205	154931	0.05
Walnut Canyon NM	206	152444	0.05
Herbert Hoover NHS	207	152382	0.05
Missouri NRR	208	148210	0.04
Chamizal NMEM	209	147937	0.04
New Bedford Whaling NHP	210	145500	0.04
Great Basin NP	211	144846	0.04
Congaree NP	212	143843	0.04
Perry's Victory & Intl. Peace MEM	213	142152	0.04
Lyndon B. Johnson NHP	214	140303	0.04
Pu'ukohola Heiau NHS	215	138565	0.04
Greenbelt Park	216	137900	0.04
Jewel Cave NM	217	137275	0.04
Coronado NMEM	218	136075	0.04
Devils Postpile NM	219	135404	0.04
Andersonville NHS	220	134216	0.04
Minuteman Missile NHS	221	133895	0.04
Scotts Bluff NM	222	130085	0.04
George Washington Birthplace NM	223	129750	0.04
Little Rock Central High School NHS	224	129540	0.04
Lava Beds NM	225	127699	0.04
George Rogers Clark NHP	226	126095	0.04
Lincoln Boyhood NMEM	227	125562	0.04
Petroglyph NM	228	124177	0.04
Piscataway Park	229	123381	0.04
Pea Ridge NMP	230	119490	0.04
Ninety Six NHS	231	118002	0.04
Gauley River NRA	232	115888	0.04
Christiansted NHS	233	115446	0.03
General Grant NMEM	234	109151	0.03
City of Rocks NRES	235	107865	0.03
Manzanar NHS	236	105307	0.03
Manhattan Project NHP	237	104715	0.03
Tuzigoot NM	238	104604	0.03
Saratoga NHP	239	102808	0.03
Natural Bridges NM	240	101843	0.03
Steamtown NHS	241	99660	0.03
Grand Portage NM	242	95862	0.03
Dayton Aviation Heritage NHP	243	95334	0.03
Fort Stanwix NM	244	94006	0.03
Timpanogos Cave NM	245	91261	0.03
Homestead NM of America	246	87755	0.03
Monocacy NB	247	87547	0.03
Rainbow Bridge NM	248	86369	0.03
Hamilton Grange NMEM	249	85348	0.03
Moores Creek NB	250	83889	0.03
Horseshoe Bend NMP	251	83370	0.03
Carl Sandburg Home NHS	252	80696	0.02
Oregon Caves NM	253	80613	0.02
Wrangell-St. Elias NP & PRES	254	79047	0.02
Effigy Mounds NM	255	77195	0.02
Casa Grande Ruins NM	256	75752	0.02
Niobrara NSR	257	73813	0.02
Dry Tortugas NP	258	73661	0.02
Florissant Fossil Beds NM	259	73564	0.02
Kalaupapa NHP	260	71527	0.02
Waco Mammoth NM	261	69510	0.02
Klondike Gold Rush NHP Seattle	262	69435	0.02
Pipestone NM	263	67489	0.02
Frederick Douglass NHS	264	67387	0.02
Hubbell Trading Post NHS	265	67276	0.02
Jimmy Carter NHS	266	66441	0.02
Navajo NM	267	65705	0.02
Roger Williams NMEM	268	65588	0.02
Rosie The Riveter WWII Home Front	269	64425	0.02
Eleanor Roosevelt NHS	270	63480	0.02
